,two_GRU_two_Linear,two_LSTM_one_CNN_two_Linear,two_LSTM_two_Linear,two_LSTM_one_Linear,two_LSTM_three_Linear,two_GRU_three_LSTM,USA
2001-52,0.0392846,0.044616044,0.029216293,0.033765927,0.03376823,0.036244757,0.0
2002-01,0.07332665,0.09123411,0.031109054,0.038112074,0.048073333,0.041912638,0.0
2002-02,0.13627788,0.15339708,0.03386779,0.05851554,0.09503654,0.058156025,0.0
2002-03,0.21701331,0.2198677,0.077401675,0.08692316,0.15559614,0.093010105,0.0
2002-04,0.25212753,0.26721177,0.16416064,0.16983955,0.25490496,0.115509324,0.0
2002-05,0.31763044,0.29769024,0.25713152,0.24934103,0.36305818,0.17886394,0.0
2002-06,0.32907504,0.3475726,0.3634343,0.3081708,0.42876244,0.28491744,0.0
2002-07,0.35244074,0.36782593,0.36754578,0.35156542,0.45231956,0.37658465,0.0
2002-08,0.25480682,0.3629075,0.37404495,0.35619766,0.44753724,0.37565914,0.0
2002-09,0.20622051,0.31209016,0.33590138,0.28018874,0.38205865,0.35880795,0.0
2002-10,0.12993681,0.2698004,0.2672102,0.22512268,0.24964467,0.28561822,0.0
2002-11,0.12240434,0.23291452,0.1543579,0.17343462,0.15419064,0.18201235,0.0
2002-12,0.099009246,0.20406792,0.12133029,0.13720973,0.10697137,0.120825216,0.0
2002-13,0.10136844,0.1415645,0.0945683,0.112704605,0.10940611,0.0890874,0.0
2002-14,0.08960575,0.12965178,0.104005635,0.09932932,0.09304956,0.06804688,0.0
2002-15,0.088798724,0.08277553,0.07936354,0.088914156,0.07040969,0.054969337,0.0
2002-16,0.07350641,0.06151494,0.07863866,0.06013143,0.037371032,0.043534882,0.0
2002-17,0.04137384,0.03871999,0.039761066,0.05534322,0.033246577,0.03623192,0.0
2002-18,0.028026108,0.03196228,0.029575761,0.05773177,0.026508031,0.031698674,0.0
2002-19,0.021637112,0.027292278,0.027750775,0.052668758,0.025808703,0.028016858,0.0
2002-20,0.021647356,0.020261763,0.026349235,0.04941029,0.026043726,0.02794487,0.0
2002-21,0.020949084,0.017103441,0.024293214,0.046719946,0.025759744,0.026888974,0.0
2002-22,0.02261662,0.012701595,0.02165028,0.030598447,0.022672735,0.027392522,0.0
2002-23,0.018244665,0.0103879925,0.020453364,0.029995348,0.022067543,0.024684533,0.0
2002-24,0.019354396,0.009170356,0.019786954,0.023651354,0.021849152,0.02382446,0.0
2002-25,0.015686493,0.010873691,0.019032981,0.02202021,0.022689316,0.022914387,0.0
2002-26,0.017560696,0.0122830365,0.019264415,0.020025719,0.024791028,0.02051486,0.0
2002-27,0.017884165,0.014242402,0.020910453,0.022000127,0.026208827,0.02086781,0.0
2002-28,0.020493804,0.01487794,0.021335624,0.023382142,0.02545483,0.02234488,0.0
2002-29,0.021078747,0.017137954,0.021960165,0.025728442,0.02432479,0.024264723,0.0
2002-30,0.02138228,0.017537937,0.022336584,0.026786007,0.02571773,0.024694674,0.0
2002-31,0.022784306,0.018722221,0.022801604,0.025854573,0.024781015,0.024531469,0.0
2002-32,0.021454507,0.01916461,0.022943657,0.026861921,0.025260027,0.025463484,0.0
2002-33,0.022026291,0.020605568,0.023406968,0.030530266,0.025720326,0.026068948,0.0
2002-34,0.02258198,0.021288758,0.024166618,0.030236036,0.026276313,0.027488798,0.0
2002-35,0.022373214,0.021118943,0.024874393,0.027698271,0.025645167,0.027432986,0.0
2002-36,0.023877427,0.021429487,0.02539977,0.031162232,0.026029823,0.028428443,0.0
2002-37,0.024129808,0.021010954,0.02592656,0.028163418,0.025733441,0.02804543,0.0
2002-38,0.023352742,0.020995129,0.02560683,0.032446243,0.025921343,0.030046672,0.0
2002-39,0.024846036,0.023274723,0.026240814,0.03430202,0.026621044,0.029302917,0.0
2002-40,0.024032895,0.023440821,0.026987638,0.032603398,0.026763255,0.029929921,0.0
2002-41,0.025371922,0.025010891,0.02771921,0.035241432,0.026775181,0.031193562,0.0
2002-42,0.025365397,0.025823753,0.028185453,0.036019124,0.026942201,0.03185782,0.0
2002-43,0.026068844,0.026430089,0.028376427,0.035605997,0.027269978,0.032145076,0.0
2002-44,0.026128463,0.026973985,0.028337013,0.03706251,0.027490836,0.032193974,0.0
2002-45,0.026835589,0.027882207,0.028547626,0.037152104,0.02773148,0.032889694,0.0
2002-46,0.026198369,0.028139599,0.02871881,0.039929267,0.027905283,0.03321591,0.0
